"vendor_id","pickup_datetime","dropoff_datetime","passenger_count","trip_distance","pickup_longitude","pickup_latitude","rate_code","store_and_fwd_flag","dropoff_longitude","dropoff_latitude","payment_type","fare_amount","surcharge","mta_tax","tip_amount","tolls_amount","total_amount"
"CMT","2014-01-09 20:09:20","2014-01-09 20:20:37",1,"1,6","-73,993146","40,734982",1,"N","-73,976154","40,741247","CRD",9,"0,5","0,5","1,5",0,"11,5"
"CMT","2014-01-09 20:11:22","2014-01-09 20:15:33",1,1,"-73,97953","40,73542",1,"N","-73,96981","40,749045","CRD","5,5","0,5","0,5","1,3",0,"7,8"
"CMT","2014-01-09 20:06:45","2014-01-09 20:17:48",3,"1,8","-73,973788","40,792434",1,"N","-73,953684","40,779249","CRD","9,5","0,5","0,5","2,1",0,"12,6"
"CMT","2014-01-09 20:12:05","2014-01-09 20:20:00",2,1,"-73,996374","40,721632",1,"N","-73,982856","40,722781","CRD",7,"0,5","0,5","1,6",0,"9,6"
"CMT","2014-01-09 20:10:32","2014-01-09 20:15:36",1,1,"-73,978133","40,679977",1,"N","-73,983379","40,693756","CRD",6,"0,5","0,5","1,75",0,"8,75"
"CMT","2014-01-09 20:07:49","2014-01-09 20:20:57",1,"2,3","-73,992292","40,724802",1,"N","-73,97139","40,754592","CRD",11,"0,5","0,5",3,0,15
"CMT","2014-01-09 19:56:22","2014-01-09 20:03:56",1,"1,1","-73,993125","40,724462",1,"N","-73,990225","40,736948","CRD","6,5",1,"0,5","1,6",0,"9,6"
"CMT","2014-01-09 20:06:35","2014-01-09 20:15:13",1,"4,3","-73,943108","40,841924",1,"N","-73,936871","40,808291","CRD","13,5","0,5","0,5","2,9",0,"17,4"
"CMT","2014-01-09 20:12:56","2014-01-09 20:19:42",1,"0,8","-73,997221","40,721749",1,"N","-73,987543","40,721319","CRD",6,1,"0,5","1,25",0,"8,75"
"CMT","2014-01-09 20:08:44","2014-01-09 20:16:59",1,"1,4","-73,971135","40,758199",1,"N","-73,956651","40,771574","CRD",8,"0,5","0,5","1,8",0,"10,8"
"CMT","2014-01-09 20:06:07","2014-01-09 20:14:54",1,"1,6","-73,999894","40,738671",1,"N","-73,978616","40,74492","CRD","8,5","0,5","0,5","1,9",0,"11,4"
"CMT","2014-01-09 20:13:11","2014-01-09 20:18:53",2,"0,9","-73,992874","40,749173",1,"N","-73,988741","40,739793","CRD","5,5","0,5","0,5","1,3",0,"7,8"
"CMT","2014-01-09 20:11:28","2014-01-09 20:17:11",1,1,"-73,99874","40,734642",1,"N","-74,005612","40,726451","CRD",6,"0,5","0,5","1,4",0,"8,4"
"CMT","2014-01-09 20:09:48","2014-01-09 20:22:28",1,"1,6","-73,967202","40,751895",1,"N","-73,978119","40,765765","CRD",10,"0,5","0,5","2,2",0,"13,2"
"CMT","2014-01-09 20:11:49","2014-01-09 20:18:04",1,1,"-73,977616","40,775395",1,"N","-73,978037","40,764636","CRD",6,"0,5","0,5",1,0,8
"CMT","2014-01-09 20:06:25","2014-01-09 20:23:05",3,"7,7","-73,981966","40,774714",1,"N","-73,922553","40,869079","CRD","23,5","0,5","0,5","4,9",0,"29,4"
"CMT","2014-01-09 20:08:51","2014-01-09 20:27:42",1,"3,2","-74,01015","40,721456",1,"N","-73,983624","40,759362","CRD","14,5","0,5","0,5",2,0,"17,5"
"CMT","2014-01-09 22:20:19","2014-01-09 22:26:25",2,"1,1","-73,977155","40,764744",1,"N","-73,963106","40,767872","CRD","6,5","0,5","0,5","1,5",0,9
"CMT","2014-01-09 22:25:26","2014-01-09 22:34:27",1,"2,1","-73,960747","40,772475",1,"N","-73,982274","40,749911","CRD",9,"0,5","0,5",2,0,12
"CMT","2014-01-09 22:21:23","2014-01-09 22:33:49",1,"7,7","-74,009498","40,707843",1,"N","-73,948815","40,784125","CRD",22,"0,5","0,5","3,5",0,"26,5"
"CMT","2014-01-09 22:20:54","2014-01-09 22:37:26",1,"6,6","-74,00796","40,722931",1,"N","-73,962953","40,795185","CRD","21,5","0,5","0,5","4,5",0,27
"CMT","2014-01-09 21:47:30","2014-01-09 21:52:47",1,"0,8","-73,977095","40,755141",1,"N","-73,977433","40,747253","CRD","5,5","0,5","0,5","1,3",0,"7,8"
"CMT","2014-01-09 21:49:43","2014-01-09 21:53:19",1,"0,8","-73,98407","40,743941",1,"N","-73,987245","40,749479","CRD",5,"0,5","0,5","1,2",0,"7,2"
"CMT","2014-01-09 21:42:23","2014-01-09 21:47:58",1,2,"-73,955549","40,779528",1,"N","-73,980445","40,775071","CRD","7,5","0,5","0,5","1,7",0,"10,2"
"CMT","2014-01-09 21:41:14","2014-01-09 21:46:32",1,"0,7","-73,985094","40,744607",1,"Y","-73,991287","40,742818","CRD","5,5","0,5","0,5",1,0,"7,5"
"CMT","2014-01-09 21:41:18","2014-01-09 22:31:20",2,"24,7","-74,005663","40,750898",5,"N","-74,368625","40,654249","CRD",90,0,0,"19,8",9,"118,8"
"CMT","2014-01-09 21:42:57","2014-01-09 21:59:55",1,"4,5","-73,995803","40,723476",1,"N","-73,95256","40,772739","CRD",16,"0,5","0,5",2,0,19
"CMT","2014-01-09 21:38:01","2014-01-09 22:08:44",1,"2,8","-73,996405","40,725505",1,"N","-73,960341","40,763816","CRD",13,"0,5","0,5",1,0,15
"CMT","2014-01-09 21:46:29","2014-01-09 21:51:20",1,1,"-73,894409","40,766011",1,"N","-73,894409","40,766011","CRD","5,5","0,5","0,5","1,3",0,"7,8"
"CMT","2014-01-09 21:46:10","2014-01-09 21:54:13",2,"1,4","-73,993816","40,72729",1,"N","-74,009586","40,723618","CRD","7,5","0,5","0,5","1,7",0,"10,2"
"CMT","2014-01-09 21:42:03","2014-01-09 22:06:07",2,"17,1","-73,78102","40,645053",2,"N","-73,976844","40,74916","CRD",52,0,"0,5",6,"5,33","63,83"
"CMT","2014-01-09 21:42:24","2014-01-09 21:52:52",3,"2,5","-73,982512","40,7726",1,"N","-73,996718","40,742118","CRD","10,5","0,5","0,5","2,3",0,"13,8"
"CMT","2014-01-09 21:44:48","2014-01-09 21:49:41",1,"0,6","-73,998313","40,735251",1,"N","-74,005623","40,740211","CRD",5,"0,5","0,5",1,0,7
"CMT","2014-01-09 21:45:57","2014-01-09 21:51:55",2,"1,5","-73,987108","40,750221",1,"N","-74,005676","40,740926","CRD",7,"0,5","0,5","1,6",0,"9,6"
"CMT","2014-01-09 21:41:51","2014-01-09 21:51:04",1,"1,6","-73,982873","40,757112",1,"N","-73,973174","40,755895","CRD",8,"0,5","0,5","1,8",0,"10,8"
"CMT","2014-01-09 21:45:59","2014-01-09 22:00:28",1,"2,9","-73,988826","40,758623",1,"N","-73,952291","40,769693","CRD","12,5","0,5","0,5","2,7",0,"16,2"
"CMT","2014-01-09 21:42:23","2014-01-09 21:58:40",4,"6,8","-73,947737","40,790332",1,"N","-73,989393","40,721343","CRD",21,"0,5","0,5","4,4",0,"26,4"
"CMT","2014-01-09 21:43:53","2014-01-09 21:50:32",1,"1,6","-74,005715","40,736762",1,"N","-73,99688","40,720398","CRD",7,"0,5","0,5",1,0,9
"CMT","2014-01-09 21:46:25","2014-01-09 21:56:47",1,"2,3",0,0,1,"N",0,0,"CRD",10,"0,5","0,5","2,2",0,"13,2"
"CMT","2014-01-09 21:50:59","2014-01-09 22:05:32",1,"7,3","-73,982313","40,745552",1,"N","-73,865983","40,724477","CRD",22,"0,5","0,5",0,"5,33","28,33"
"CMT","2014-01-09 21:51:43","2014-01-09 22:01:34",2,"2,3","-74,008564","40,720798",1,"N","-73,991957","40,743845","CRD","9,5","0,5","0,5","2,1",0,"12,6"
"CMT","2014-01-09 21:49:41","2014-01-09 22:10:21",1,"4,8","-74,002591","40,738983",1,"N","-73,951894","40,715999","CRD","18,5","0,5","0,5","3,9",0,"23,4"
"CMT","2014-01-09 21:47:29","2014-01-09 21:56:53",1,2,"-74,0013","40,716364",1,"N","-74,002059","40,740332","CRD",9,"0,5","0,5",2,0,12
"CMT","2014-01-09 23:40:41","2014-01-09 23:50:28",1,"1,9","-73,993996","40,738734",1,"N","-73,987513","40,760007","CRD",9,"0,5","0,5",1,0,11
"CMT","2014-01-09 23:39:24","2014-01-09 23:47:14",1,"1,5","-74,00678","40,735794",1,"N","-73,984929","40,72804","CRD","7,5","0,5","0,5","1,7",0,"10,2"
"CMT","2014-01-09 23:41:54","2014-01-09 23:49:21",1,"1,3","-74,008422","40,719987",1,"N","-74,009116","40,737494","CRD","7,5","0,5","0,5","1,7",0,"10,2"
"CMT","2014-01-09 23:34:49","2014-01-09 23:59:12",1,6,"-73,990151","40,723406",1,"N","-73,905432","40,690923","CRD","21,5","0,5","0,5","4,5",0,27
"CMT","2014-01-09 23:35:32","2014-01-09 23:53:57",1,"5,3","-73,942103","40,791194",1,"N","-74,000271","40,746118","CRD","18,5","0,5","0,5",2,0,"21,5"
"CMT","2014-01-09 23:35:28","2014-01-09 23:47:24",1,"2,6","-73,990438","40,746149",1,"N","-73,987691","40,774547","CRD",11,"0,5","0,5","1,5",0,"13,5"
"CMT","2014-01-09 23:36:55","2014-01-09 23:46:39",1,"2,8","-73,95563","40,776912",1,"N","-73,981012","40,744532","CRD","10,5","0,5","0,5",1,0,"12,5"
"CMT","2014-01-09 23:39:39","2014-01-09 23:45:20",2,"1,7","-73,95275","40,780538",1,"N","-73,977255","40,786816","CRD",7,"0,5","0,5","1,6",0,"9,6"
"CMT","2014-01-09 23:36:46","2014-01-09 23:48:29",1,"4,4","-73,985449","40,720396",1,"N","-74,010103","40,71198","CRD","15,5","0,5","0,5","4,13",0,"20,63"
"CMT","2014-01-09 23:33:41","2014-01-09 23:49:08",1,5,"-73,987164","40,7618",1,"N","-74,018046","40,708237","CRD","17,5","0,5","0,5",3,0,"21,5"
"CMT","2014-01-09 23:46:09","2014-01-09 23:51:29",1,"0,7","-73,978498","40,754932",1,"N","-73,986205","40,762357","CRD","5,5","0,5","0,5",1,0,"7,5"
"CMT","2014-01-09 21:45:55","2014-01-09 22:01:15",1,"2,2","-73,978004","40,778704",1,"N","-73,96272","40,758399","CRD",12,"0,5","0,5","2,6",0,"15,6"
"CMT","2014-01-09 21:42:26","2014-01-09 21:46:20",1,1,"-74,0049","40,737483",1,"N","-73,99482","40,750428","CRD","5,5","0,5","0,5","1,95",0,"8,45"
"CMT","2014-01-09 21:46:05","2014-01-09 21:50:36",1,"0,7","-73,982186","40,770516",1,"N","-73,981653","40,78077","CRD","5,5","0,5","0,5","1,3",0,"7,8"
"CMT","2014-01-09 21:44:14","2014-01-09 21:55:05",1,"2,1","-73,959534","40,771066",1,"N","-73,985427","40,756098","CRD",10,"0,5","0,5","2,2",0,"13,2"
"CMT","2014-01-09 21:46:17","2014-01-09 21:54:14",1,2,"-73,990913","40,738927",1,"N","-73,995343","40,759822","CRD","8,5","0,5","0,5","1,9",0,"11,4"
